yday,2011,2012,2013,2014,2015,2016,2017
312,1.7939814,1.2152778,1.886574,2.6388888,0.6365741,1.2037038,1.7361112
313,1.7592592,1.2152778,1.863426,2.6504629,0.6134259,1.1921296,1.7592592
314,1.7824074,1.2268518,1.8981482,2.6736112,1.7824074,1.1458334,2.3263888
315,1.7939814,1.1921296,1.9560186,2.6851852,1.2037038,1.2268518,2.8819444
316,1.7592592,1.1921296,1.8981482,2.6620371,0.6365741,2.0717592,2.8935184
317,1.7824074,1.2152778,0.8449074,2.6504629,1.2152778,2.3263888,2.8935184
318,1.7708334,1.1689814,0.787037,3.2638888,1.7939814,2.3032408,2.9050925
319,1.7824074,1.2847222,0.7638889,3.2638888,3.460648,2.3379629,2.8819444
320,1.7592592,1.25,0.7523148,3.2523148,3.5763888,2.3379629,2.3032408
321,1.7708334,1.2847222,0.7523148,3.2986112,3.4837964,1.3541666,2.3263888
322,3.113426,1.25,0.7638889,3.2986112,2.2916667,1.1805556,1.1574074
323,2.8703704,1.2731482,0.787037,2.6851852,2.3032408,0.6828704,1.1574074
324,2.9629629,1.2731482,0.775463,2.4189816,2.2800925,0.5787037,1.1574074
325,3.0092592,1.2268518,0.775463,2.4305556,2.2916667,0.5671296,1.1458334
326,2.9629629,1.2037038,0.7638889,1.8055556,2.2685184,0.5902778,2.3148148
327,2.9861112,1.2731482,0.7407407,1.863426,2.3495371,0.5787037,2.8587964
328,2.9513888,1.2268518,0.775463,1.9212962,2.3032408,2.1527777,2.836111
329,2.9513888,1.1921296,0.787037,1.863426,1.1921296,2.3032408,2.4074075
330,2.9513888,1.1921296,0.7638889,1.8518518,1.2037038,2.2685184,2.3495371
331,3.0324075,1.261574,0.7523148,1.875,1.2152778,2.7314816,2.3495371
332,2.8125,1.2037038,0.787037,1.8518518,2.8472223,2.8819444,2.3495371
333,2.9282408,1.2152778,0.7407407,1.8402778,2.9861112,2.9629629,2.3495371
334,2.9166667,1.1805556,0.7523148,1.863426,2.9398148,2.8935184,2.3379629
335,2.9282408,3.6111112,0.7986111,1.8518518,2.9513888,2.8703704,1.7476852
336,1.25,3.6574075,0.7407407,1.8171296,3.4837964,2.9166667,1.724537
337,2.3726852,3.6458333,0.7638889,1.8171296,3.4722223,2.8935184,1.7592592
338,2.3726852,3.6805556,0.8101852,1.863426,3.460648,2.835648,1.7824074
339,2.4074075,2.4074075,0.7523148,2.4652777,3.8541667,2.8703704,1.7708334
340,2.3726852,2.4189816,1.4236112,2.3611112,4.039352,2.9050925,1.7361112
